,Fat%,PRKAA2,FDPS,TGFB2,ELOVL6,MSMO1,HMGCS1,ELOVL7,HMGCR,ELOVL2,TNF,LAMA2,ACAT2,ITGB8,CACNA2D1,CYP51A1,FDFT1,SQLE,ADCY8,TPM2,IDI1,ITGA8,SCD,ADRB1,FADS1,FADS2,DHCR7,SC5D,CACNA1C,MVK,MVD,ITGA3,SGCA,LSS,NSDHL
18,60.97296321,185,1856,28,6780,3851,2171,92,1223,1040,20,828,631,114,185,207,3646,1046,0,1720,2568,141,11204,6,2346,2515,5633,3386,160,1275,1372,662,164,3188,1121
94,61.63360596,100,1596,16,1479,11163,5707,62,1692,775,45,1158,2178,75,163,82,4580,1453,16,1542,3157,55,5590,14,1884,1496,3721,4710,189,2794,1921,256,111,5909,1891
51,62.56649953,594,13538,19,12642,67433,84944,56,18647,2760,8,756,14121,82,123,1011,26540,13496,8,1833,26175,187,116620,9,12045,16592,26839,14684,130,5683,11820,307,42,25737,6963
52,62.56649953,594,13538,19,12642,67433,84944,56,18647,2760,8,756,14121,82,123,1011,26540,13496,8,1833,26175,187,116620,9,12045,16592,26839,14684,130,5683,11820,307,42,25737,6963
50,62.56649953,594,13538,19,12642,67433,84944,56,18647,2760,8,756,14121,82,123,1011,26540,13496,8,1833,26175,187,116620,9,12045,16592,26839,14684,130,5683,11820,307,42,25737,6963
42,66.31720503,181,3268,21,4469,8289,3567,43,1984,908,47,338,2757,43,86,141,4114,1619,0,1235,4843,52,23035,28,2483,5028,7149,10521,90,1823,2269,219,23,6071,2118
62,69.37480108,97,1592,11,1863,12630,6949,40,2092,768,2,1169,3450,38,92,260,4569,1421,4,991,3896,45,4509,4,2044,684,5622,6003,139,1517,1591,196,76,3115,2209
34,69.72447241,180,1289,8,4254,10745,5911,37,2790,1159,5,850,2141,51,136,180,2792,612,0,303,2462,67,11507,6,5048,1699,5464,6911,73,1332,817,92,35,2149,1691
7,71.04103655,327,1810,426,1265,4429,2620,153,1809,262,16,1371,445,412,174,103,3728,1021,16,2897,2575,124,9111,6,1753,1325,3544,1139,243,884,1702,1286,42,1825,2359
72,74.94198586,197,795,27,374,3562,1370,63,732,631,25,814,1093,56,94,39,1862,185,2,1332,1271,51,3788,1,380,356,3351,2861,95,776,583,172,113,2235,909
71,74.94198586,197,795,27,374,3562,1370,63,732,631,25,814,1093,56,94,39,1862,185,2,1332,1271,51,3788,1,380,356,3351,2861,95,776,583,172,113,2235,909
85,76.17773966,327,1653,44,1517,13939,4062,62,2259,1319,18,821,2894,245,121,247,5155,960,0,3364,3233,454,11680,7,1583,1448,7515,8332,261,1675,1206,604,165,4942,1564
